leiden_r06,x_aligned,y_aligned,CD274
CAF,170.1307373046875,122.78323364257812,0.0
CAF,145.9984130859375,78.1424560546875,0.0
CAF,150.633544921875,101.58023071289062,0.0
CAF,159.9027099609375,134.2550048828125,0.0
CAF,156.9593505859375,79.88528442382812,0.0
CAF,152.79876708984375,91.52389526367188,0.0
CAF,149.06719970703125,37.476226806640625,0.0
CAF,159.50341796875,31.7763671875,0.0
CAF,152.0303955078125,39.843170166015625,0.0
CAF,155.15057373046875,66.69009399414062,0.0
CAF,171.10400390625,58.6243896484375,0.0
CAF,163.85504150390625,51.826141357421875,0.0
CAF,161.77996826171875,47.4591064453125,0.0
CAF,174.81427001953125,32.230987548828125,0.0
CAF,174.55364990234375,25.52154541015625,0.0
CAF,109.95758056640625,168.07489013671875,0.0
CAF,156.1329345703125,19.81195068359375,0.0
CAF,153.40338134765625,30.197021484375,0.0
CAF,159.38818359375,28.331329345703125,0.0
CAF,167.0946044921875,27.187774658203125,0.0
CAF,163.90362548828125,25.25054931640625,0.0
CAF,160.4176025390625,9.610015869140625,0.0
CAF,144.751220703125,70.13522338867188,0.0
CAF,145.74346923828125,53.629119873046875,0.0
CAF,157.21826171875,53.577392578125,0.0
CAF,158.21282958984375,64.70211791992188,0.0
CAF,154.648193359375,53.344818115234375,0.0
CAF,147.467041015625,67.7457275390625,0.0
CAF,151.00518798828125,65.48959350585938,0.0
CAF,138.25115966796875,54.494110107421875,0.0
CAF,140.95611572265625,74.11865234375,0.0
CAF,170.2457275390625,50.50244140625,0.0
CAF,173.84552001953125,50.40411376953125,0.0
CAF,174.42327880859375,39.104644775390625,0.0
CAF,168.26165771484375,33.18414306640625,0.0
CAF,160.9228515625,61.9566650390625,0.0
CAF,164.72296142578125,60.58087158203125,0.0
CAF,126.06964111328125,101.74053955078125,2.04387
CAF,127.5631103515625,118.42547607421875,2.3433619
CAF,130.019287109375,78.9974365234375,0.0
CAF,171.0361328125,141.559814453125,0.0
CAF,128.620849609375,126.70254516601562,2.1031163
CAF,152.8658447265625,129.6536865234375,0.0
CAF,149.14788818359375,128.77883911132812,0.0
CAF,151.1207275390625,109.0107421875,0.0
CAF,134.5836181640625,125.9000244140625,0.0
CAF,133.74761962890625,122.69119262695312,0.0
CAF,143.3958740234375,117.79238891601562,0.0
CAF,137.93145751953125,85.26754760742188,0.0
CAF,153.036376953125,74.10870361328125,0.0
CAF,152.85028076171875,81.61386108398432,0.0
CAF,152.7789306640625,93.72442626953125,0.0
CAF,167.8170166015625,120.17886352539062,0.0
CAF,149.78466796875,99.39501953125,0.0
CAF,146.90411376953125,95.92849731445312,0.0
CAF,153.3245849609375,98.36334228515625,0.0
CAF,150.81494140625,106.041748046875,0.0
CAF,135.29315185546875,100.82534790039062,0.0
CAF,139.07470703125,96.48028564453125,0.0
CAF,144.20416259765625,98.29147338867188,0.0
CAF,144.43170166015625,102.67236328125,0.0
CAF,139.7357177734375,100.42803955078125,2.3408122
CAF,161.25569577468502,2.7759383071692127,0.0
CAF,145.92652807264994,41.67705950212019,0.0
CAF,151.00015468274648,87.86153801586909,0.0
CAF,5.443965329958246,164.99669970722027,0.0
CAF,110.2942090666537,97.90803276162399,0.0
CAF,107.17710232249021,105.57740514997641,0.0
CAF,99.15430241483261,89.90860983989103,0.0
CAF,1.6034787111900641,97.85630699726732,0.0
CAF,5.380192529910573,154.75920526597008,0.0
CAF,1.846937191732195,112.18647904518099,0.0
CAF,144.98714612292088,52.731202733187445,0.0
CAF,160.56984337237213,35.61740054945602,2.200788
CAF,141.101092707117,9.361874244935223,2.412569
CAF,148.72018146964467,30.282699059403797,0.0
CAF,166.41092670988007,8.835629130298173,0.0
CAF,7.850249162645014,145.5481628842591,2.766516
CAF,105.99735332730404,82.50286993629362,0.0
CAF,101.49085367055545,74.777118695725,0.0
CAF,100.11988188662019,65.33415494172652,0.0
CAF,82.85373888118545,62.76953863995573,0.0
CAF,86.80371648174503,81.56696186722701,0.0
CAF,111.48681779438346,123.48653478257933,0.0
CAF,101.99327561276095,86.84923644269708,0.0
CAF,114.28357856169544,97.47768587554458,0.0
CAF,89.82953027951328,105.68203588588688,0.0
CAF,164.12720074954905,96.67658987254578,0.0
Tumour epithelial,118.6072998046875,159.75439453125,0.0
Tumour epithelial (proliferative),119.41705322265625,1.128997802734375,0.0
Tumour epithelial,106.64892578125,152.53631591796875,0.0
Tumour epithelial,99.2083740234375,154.55718994140625,0.0
Tumour epithelial,174.8323974609375,139.41204833984375,0.0
Tumour epithelial,170.8116455078125,170.9998779296875,2.7097318
Tumour epithelial,173.56707763671875,126.63632202148432,0.0
Tumour epithelial,136.56903076171875,129.43865966796875,0.0
Tumour epithelial (proliferative),132.07421875,90.01553344726562,0.0
Tumour epithelial,162.44696044921875,135.79510498046875,0.0
Tumour epithelial,161.78558349609375,147.26611328125,0.0
Tumour epithelial,126.4761962890625,30.877166748046875,0.0
Tumour epithelial,150.909912109375,35.977783203125,0.0
Tumour epithelial,145.10418701171875,20.6356201171875,2.9574163
Tumour epithelial,154.9832763671875,34.120574951171875,0.0
Tumour epithelial,163.19927978515625,3.696533203125,0.0
Tumour epithelial,136.89190673828125,5.220245361328125,0.0
Tumour epithelial,154.08978271484375,71.36520385742188,0.0
Tumour epithelial,133.576904296875,47.2149658203125,0.0
Tumour epithelial (proliferative),170.50579833984375,25.748046875,0.0
Tumour epithelial,138.7425537109375,151.8228759765625,2.357095
Tumour epithelial,138.6800537109375,157.1131591796875,0.0
Tumour epithelial,144.48919677734375,158.74114990234375,0.0
Tumour epithelial,163.820556640625,173.029296875,0.0
Tumour epithelial,147.75970458984375,170.33404541015625,0.0
Tumour epithelial,147.5667724609375,153.13385009765625,0.0
Tumour epithelial,154.00653076171875,164.95294189453125,0.0
Tumour epithelial,97.03179931640625,172.781982421875,0.0
Tumour epithelial,103.21136474609375,166.86956787109375,0.0
Tumour epithelial,116.1611328125,171.87701416015625,0.0
Tumour epithelial,137.047607421875,170.54669189453125,0.0
Tumour epithelial,127.26995849609375,172.38287353515625,0.0
